Fazar,m1,Zohor,m2,Asar,m3,Magrib,m4,Esha,m5
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 14, 12, 03, 15, 49, 17, 30, 18, 34
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 15, 12, 05, 15, 52, 17, 33, 18, 49
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 16, 12, 07, 15, 52, 17, 36, 18, 52
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 09, 15, 57, 17, 38, 18, 54
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 18, 12, 11, 16, 03, 17, 43, 18, 58
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 12, 16, 06, 17, 46, 19, 01
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 17, 12, 14, 16, 11, 17, 52, 19, 05
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 15, 12, 14, 16, 13, 17, 54, 19, 07
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 12, 12, 14, 16, 16, 17, 57, 19, 10
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 10, 12, 14, 16, 18, 18, 00, 19, 12
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 08, 12, 14, 16, 20, 18, 03, 19, 14
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
05, 04, 12, 13, 16, 23, 18, 05, 19, 16
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 58, 12, 13, 16, 25, 18, 07, 19, 18
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 57, 12, 02, 16, 27, 18, 10, 19, 21
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 53, 12, 11, 16, 28, 18, 12, 19, 23
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
04, 48, 12, 09, 16, 28, 18, 13, 19, 24
04, 43, 12, 06, 16, 30, 18, 16, 19, 27
04, 43, 12, 06, 16, 30, 18, 16, 19, 27
04, 43, 12, 06, 16, 30, 18, 16, 19, 27
04, 43, 12, 06, 16, 30, 18, 16, 19, 27
04, 43, 12, 06, 16, 30, 18, 16, 19, 27
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 38, 12, 08, 16, 30, 18, 20, 19, 28
04, 30, 12, 05, 16, 31, 18, 21, 19, 32
04, 30, 12, 05, 16, 31, 18, 21, 19, 32
04, 30, 12, 05, 16, 31, 18, 21, 19, 32
04, 30, 12, 05, 16, 31, 18, 21, 19, 32
04, 26, 12, 03, 16, 31, 18, 22, 19, 34
04, 26, 12, 03, 16, 31, 18, 22, 19, 34
04, 26, 12, 03, 16, 31, 18, 22, 19, 34
04, 26, 12, 03, 16, 31, 18, 22, 19, 34
04, 26, 12, 03, 16, 31, 18, 22, 19, 34
04, 21, 12, 02, 16, 31, 18, 24, 19, 37
04, 21, 12, 02, 16, 31, 18, 24, 19, 37
04, 21, 12, 02, 16, 31, 18, 24, 19, 37
04, 21, 12, 02, 16, 31, 18, 24, 19, 37
04, 21, 12, 02, 16, 31, 18, 24, 19, 37
04, 15, 12, 00, 16, 31, 18, 25, 19, 39
04, 15, 12, 00, 16, 31, 18, 25, 19, 39
04, 15, 12, 00, 16, 31, 18, 25, 19, 39
04, 15, 12, 00, 16, 31, 18, 25, 19, 39
04, 15, 12, 00, 16, 31, 18, 25, 19, 39
04, 11, 11, 59, 16, 32, 18, 27, 19, 41
04, 11, 11, 59, 16, 32, 18, 27, 19, 41
04, 11, 11, 59, 16, 32, 18, 27, 19, 41
04, 11, 11, 59, 16, 32, 18, 27, 19, 41
04, 11, 11, 59, 16, 32, 18, 27, 19, 41
04, 06, 11, 57, 16, 32, 18, 29, 19, 44
04, 06, 11, 57, 16, 32, 18, 29, 19, 44
04, 06, 11, 57, 16, 32, 18, 29, 19, 44
04, 06, 11, 57, 16, 32, 18, 29, 19, 44
04, 06, 11, 57, 16, 32, 18, 29, 19, 44
04, 06, 11, 57, 16, 32, 18, 29, 19, 44
04, 01, 11, 57, 16, 32, 18, 31, 19, 47
04, 01, 11, 57, 16, 32, 18, 31, 19, 47
04, 01, 11, 57, 16, 32, 18, 31, 19, 47
04, 01, 11, 57, 16, 32, 18, 31, 19, 47
03, 57, 11, 57, 16, 33, 18, 34, 19, 51
03, 57, 11, 57, 16, 33, 18, 34, 19, 51
03, 57, 11, 57, 16, 33, 18, 34, 19, 51
03, 57, 11, 57, 16, 33, 18, 34, 19, 51
03, 57, 11, 57, 16, 33, 18, 34, 19, 51
03, 52, 11, 56, 16, 33, 18, 36, 19, 54
03, 52, 11, 56, 16, 33, 18, 36, 19, 54
03, 52, 11, 56, 16, 33, 18, 36, 19, 54
03, 52, 11, 56, 16, 33, 18, 36, 19, 54
03, 52, 11, 56, 16, 33, 18, 36, 19, 54
03, 50, 11, 56, 16, 33, 18, 38, 19, 57
03, 50, 11, 56, 16, 33, 18, 38, 19, 57
03, 50, 11, 56, 16, 33, 18, 38, 19, 57
03, 50, 11, 56, 16, 33, 18, 38, 19, 57
03, 50, 11, 56, 16, 33, 18, 38, 19, 57
03, 46, 11, 56, 16, 34, 18, 40, 20, 04
03, 46, 11, 56, 16, 34, 18, 40, 20, 04
03, 46, 11, 56, 16, 34, 18, 40, 20, 04
03, 46, 11, 56, 16, 34, 18, 40, 20, 04
03, 46, 11, 56, 16, 34, 18, 40, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 44, 11, 57, 16, 35, 18, 43, 20, 04
03, 42, 11, 57, 16, 37, 18, 54, 20, 08
03, 42, 11, 57, 16, 37, 18, 54, 20, 08
03, 42, 11, 57, 16, 37, 18, 54, 20, 08
03, 42, 11, 57, 16, 37, 18, 54, 20, 08
03, 40, 11, 58, 16, 37, 18, 48, 20, 10
03, 40, 11, 58, 16, 37, 18, 48, 20, 10
03, 40, 11, 58, 16, 37, 18, 48, 20, 10
03, 40, 11, 58, 16, 37, 18, 48, 20, 10
03, 40, 11, 58, 16, 37, 18, 48, 20, 10
03, 40, 11, 59, 16, 38, 18, 50, 20, 12
03, 40, 11, 59, 16, 38, 18, 50, 20, 12
03, 40, 11, 59, 16, 38, 18, 50, 20, 12
03, 40, 11, 59, 16, 38, 18, 50, 20, 12
03, 40, 11, 59, 16, 38, 18, 50, 20, 12
03, 41, 12, 00, 16, 39, 18, 52, 20, 13
03, 41, 12, 00, 16, 39, 18, 52, 20, 13
03, 41, 12, 00, 16, 39, 18, 52, 20, 13
03, 41, 12, 00, 16, 39, 18, 52, 20, 13
03, 41, 12, 00, 16, 39, 18, 52, 20, 13
03, 41, 12, 01, 16, 40, 18, 53, 20, 16
03, 41, 12, 01, 16, 40, 18, 53, 20, 16
03, 41, 12, 01, 16, 40, 18, 53, 20, 16
03, 41, 12, 01, 16, 40, 18, 53, 20, 16
03, 41, 12, 01, 16, 40, 18, 53, 20, 16
03, 52, 12, 02, 16, 40, 18, 54, 20, 17
03, 52, 12, 02, 16, 40, 18, 54, 20, 17
03, 52, 12, 02, 16, 40, 18, 54, 20, 17
03, 52, 12, 02, 16, 40, 18, 54, 20, 17
03, 52, 12, 02, 16, 40, 18, 54, 20, 17
03, 52, 12, 02, 16, 40, 18, 54, 20, 17
03, 43, 12, 04, 16, 41, 18, 55, 20, 17
03, 43, 12, 04, 16, 41, 18, 55, 20, 17
03, 43, 12, 04, 16, 41, 18, 55, 20, 17
03, 43, 12, 04, 16, 41, 18, 55, 20, 17
03, 45, 12, 05, 16, 43, 18, 55, 20, 17
03, 45, 12, 05, 16, 43, 18, 55, 20, 17
03, 45, 12, 05, 16, 43, 18, 55, 20, 17
03, 45, 12, 05, 16, 43, 18, 55, 20, 17
03, 45, 12, 05, 16, 43, 18, 55, 20, 17
03, 47, 12, 05, 16, 45, 18, 54, 20, 16
03, 47, 12, 05, 16, 45, 18, 54, 20, 16
03, 47, 12, 05, 16, 45, 18, 54, 20, 16
03, 47, 12, 05, 16, 45, 18, 54, 20, 16
03, 47, 12, 05, 16, 45, 18, 54, 20, 16
03, 51, 12, 06, 16, 44, 18, 54, 20, 15
03, 51, 12, 06, 16, 44, 18, 54, 20, 15
03, 51, 12, 06, 16, 44, 18, 54, 20, 15
03, 51, 12, 06, 16, 44, 18, 54, 20, 15
03, 51, 12, 06, 16, 44, 18, 54, 20, 15
03, 53, 12, 06, 16, 44, 18, 52, 20, 13
03, 53, 12, 06, 16, 44, 18, 52, 20, 13
03, 53, 12, 06, 16, 44, 18, 52, 20, 13
03, 53, 12, 06, 16, 44, 18, 52, 20, 13
03, 53, 12, 06, 16, 44, 18, 52, 20, 13
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
03, 56, 12, 06, 16, 44, 18, 50, 20, 10
04, 06, 12, 06, 16, 43, 18, 47, 20, 05
04, 06, 12, 06, 16, 43, 18, 47, 20, 05
04, 06, 12, 06, 16, 43, 18, 47, 20, 05
04, 06, 12, 06, 16, 43, 18, 47, 20, 05
04, 03, 12, 06, 16, 42, 18, 45, 20, 03
04, 03, 12, 06, 16, 42, 18, 45, 20, 03
04, 03, 12, 06, 16, 42, 18, 45, 20, 03
04, 03, 12, 06, 16, 42, 18, 45, 20, 03
04, 03, 12, 06, 16, 42, 18, 45, 20, 03
04, 06, 12, 05, 16, 41, 18, 41, 19, 58
04, 06, 12, 05, 16, 41, 18, 41, 19, 58
04, 06, 12, 05, 16, 41, 18, 41, 19, 58
04, 06, 12, 05, 16, 41, 18, 41, 19, 58
04, 06, 12, 05, 16, 41, 18, 41, 19, 58
04, 09, 12, 04, 16, 59, 18, 38, 19, 53
04, 09, 12, 04, 16, 59, 18, 38, 19, 53
04, 09, 12, 04, 16, 59, 18, 38, 19, 53
04, 09, 12, 04, 16, 59, 18, 38, 19, 53
04, 09, 12, 04, 16, 59, 18, 38, 19, 53
04, 11, 12, 03, 16, 37, 18, 34, 19, 43
04, 11, 12, 03, 16, 37, 18, 34, 19, 43
04, 11, 12, 03, 16, 37, 18, 34, 19, 43
04, 11, 12, 03, 16, 37, 18, 34, 19, 43
04, 11, 12, 03, 16, 37, 18, 34, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 15, 12, 02, 16, 34, 18, 29, 19, 43
04, 18, 12, 00, 16, 31, 18, 23, 19, 36
04, 18, 12, 00, 16, 31, 18, 23, 19, 36
04, 18, 12, 00, 16, 31, 18, 23, 19, 36
04, 18, 12, 00, 16, 31, 18, 23, 19, 36
04, 22, 11, 59, 16, 29, 18, 20, 19, 32
04, 22, 11, 59, 16, 29, 18, 20, 19, 32
04, 22, 11, 59, 16, 29, 18, 20, 19, 32
04, 22, 11, 59, 16, 29, 18, 20, 19, 32
04, 22, 11, 59, 16, 29, 18, 20, 19, 32
04, 22, 11, 57, 16, 25, 18, 14, 19, 26
04, 22, 11, 57, 16, 25, 18, 14, 19, 26
04, 22, 11, 57, 16, 25, 18, 14, 19, 26
04, 22, 11, 57, 16, 25, 18, 14, 19, 26
04, 22, 11, 57, 16, 25, 18, 14, 19, 26
04, 20, 11, 55, 16, 21, 18, 09, 19, 21
04, 20, 11, 55, 16, 21, 18, 09, 19, 21
04, 20, 11, 55, 16, 21, 18, 09, 19, 21
04, 20, 11, 55, 16, 21, 18, 09, 19, 21
04, 20, 11, 55, 16, 21, 18, 09, 19, 21
04, 26, 11, 54, 16, 18, 18, 05, 19, 16
04, 26, 11, 54, 16, 18, 18, 05, 19, 16
04, 26, 11, 54, 16, 18, 18, 05, 19, 16
04, 26, 11, 54, 16, 18, 18, 05, 19, 16
04, 26, 11, 54, 16, 18, 18, 05, 19, 16
04, 27, 11, 52, 16, 14, 18, 00, 19, 11
04, 27, 11, 52, 16, 14, 18, 00, 19, 11
04, 27, 11, 52, 16, 14, 18, 00, 19, 11
04, 27, 11, 52, 16, 14, 18, 00, 19, 11
04, 27, 11, 52, 16, 14, 18, 00, 19, 11
04, 27, 11, 52, 16, 14, 18, 00, 19, 11
04, 30, 11, 50, 16, 09, 17, 53, 19, 04
04, 30, 11, 50, 16, 09, 17, 53, 19, 04
04, 30, 11, 50, 16, 09, 17, 53, 19, 04
04, 30, 11, 50, 16, 09, 17, 53, 19, 04
04, 31, 11, 49, 16, 04, 17, 50, 19, 01
04, 31, 11, 49, 16, 04, 17, 50, 19, 01
04, 31, 11, 49, 16, 04, 17, 50, 19, 01
04, 31, 11, 49, 16, 04, 17, 50, 19, 01
04, 31, 11, 49, 16, 04, 17, 50, 19, 01
04, 34, 11, 48, 16, 04, 17, 46, 18, 56
04, 34, 11, 48, 16, 04, 17, 46, 18, 56
04, 34, 11, 48, 16, 04, 17, 46, 18, 56
04, 34, 11, 48, 16, 04, 17, 46, 18, 56
04, 34, 11, 48, 16, 04, 17, 46, 18, 56
04, 34, 11, 46, 15, 58, 17, 39, 18, 51
04, 34, 11, 46, 15, 58, 17, 39, 18, 51
04, 34, 11, 46, 15, 58, 17, 39, 18, 51
04, 34, 11, 46, 15, 58, 17, 39, 18, 51
04, 34, 11, 46, 15, 58, 17, 39, 18, 51
04, 36, 11, 45, 15, 54, 17, 36, 18, 48
04, 36, 11, 45, 15, 54, 17, 36, 18, 48
04, 36, 11, 45, 15, 54, 17, 36, 18, 48
04, 36, 11, 45, 15, 54, 17, 36, 18, 48
04, 36, 11, 45, 15, 54, 17, 36, 18, 48
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 38, 11, 44, 15, 50, 17, 32, 18, 44
04, 42, 11, 44, 15, 47, 17, 30, 18, 40
04, 42, 11, 44, 15, 47, 17, 30, 18, 40
04, 42, 11, 44, 15, 47, 17, 30, 18, 40
04, 42, 11, 44, 15, 47, 17, 30, 18, 40
04, 44, 11, 44, 15, 45, 17, 25, 18, 38
04, 44, 11, 44, 15, 45, 17, 25, 18, 38
04, 44, 11, 44, 15, 45, 17, 25, 18, 38
04, 44, 11, 44, 15, 45, 17, 25, 18, 38
04, 44, 11, 44, 15, 45, 17, 25, 18, 38
04, 46, 11, 44, 15, 42, 17, 23, 18, 36
04, 46, 11, 44, 15, 42, 17, 23, 18, 36
04, 46, 11, 44, 15, 42, 17, 23, 18, 36
04, 46, 11, 44, 15, 42, 17, 23, 18, 36
04, 46, 11, 44, 15, 42, 17, 23, 18, 36
04, 49, 11, 45, 15, 41, 17, 21, 18, 35
04, 49, 11, 45, 15, 41, 17, 21, 18, 35
04, 49, 11, 45, 15, 41, 17, 21, 18, 35
04, 49, 11, 45, 15, 41, 17, 21, 18, 35
04, 49, 11, 45, 15, 41, 17, 21, 18, 35
04, 52, 11, 46, 15, 39, 17, 20, 18, 34
04, 52, 11, 46, 15, 39, 17, 20, 18, 34
04, 52, 11, 46, 15, 39, 17, 20, 18, 34
04, 52, 11, 46, 15, 39, 17, 20, 18, 34
04, 52, 11, 46, 15, 39, 17, 20, 18, 34
04, 54, 11, 47, 15, 38, 17, 19, 18, 34
04, 54, 11, 47, 15, 38, 17, 19, 18, 34
04, 54, 11, 47, 15, 38, 17, 19, 18, 34
04, 54, 11, 47, 15, 38, 17, 19, 18, 34
04, 54, 11, 47, 15, 38, 17, 19, 18, 34
04, 54, 11, 47, 15, 38, 17, 19, 18, 34
04, 58, 11, 49, 15, 38, 17, 19, 18, 34
04, 58, 11, 49, 15, 38, 17, 19, 18, 34
04, 58, 11, 49, 15, 38, 17, 19, 18, 34
04, 58, 11, 49, 15, 38, 17, 19, 18, 34
05, 03, 11, 51, 15, 38, 17, 19, 18, 35
05, 03, 11, 51, 15, 38, 17, 19, 18, 35
05, 03, 11, 51, 15, 38, 17, 19, 18, 35
05, 03, 11, 51, 15, 38, 17, 19, 18, 35
05, 03, 11, 51, 15, 38, 17, 19, 18, 35
05, 03, 11, 53, 15, 39, 17, 21, 18, 37
05, 03, 11, 53, 15, 39, 17, 21, 18, 37
05, 03, 11, 53, 15, 39, 17, 21, 18, 37
05, 03, 11, 53, 15, 39, 17, 21, 18, 37
05, 03, 11, 53, 15, 39, 17, 21, 18, 37
05, 06, 11, 55, 15, 41, 17, 22, 18, 38
05, 06, 11, 55, 15, 41, 17, 22, 18, 38
05, 06, 11, 55, 15, 41, 17, 22, 18, 38
05, 06, 11, 55, 15, 41, 17, 22, 18, 38
05, 06, 11, 55, 15, 41, 17, 22, 18, 38
05, 08, 11, 57, 15, 43, 17, 24, 18, 40
05, 08, 11, 57, 15, 43, 17, 24, 18, 40
05, 08, 11, 57, 15, 43, 17, 24, 18, 40
05, 08, 11, 57, 15, 43, 17, 24, 18, 40
05, 08, 11, 57, 15, 43, 17, 24, 18, 40
05, 11, 12, 00, 15, 46, 17, 27, 18, 43
05, 11, 12, 00, 15, 46, 17, 27, 18, 43
05, 11, 12, 00, 15, 46, 17, 27, 18, 43
05, 11, 12, 00, 15, 46, 17, 27, 18, 43
05, 11, 12, 00, 15, 46, 17, 27, 18, 43
05, 11, 12, 00, 15, 46, 17, 27, 18, 43
05, 11, 12, 00, 15, 46, 17, 27, 18, 43